id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
857175353247182494,Djady’s,268089102,Maria,,Dorchester,42.3140755,-71.05715889999999,Private room,45,29,4,2025-03-28,0.16,3,341,2,
858659396824816067,Upscale Boston 2 BR w/ Off Street Parking,507787766,Tim,,West Roxbury,42.29362,-71.13868,Entire home/apt,340,3,76,2025-06-09,2.84,1,317,34,STR-518362
859566125486151685,Location+Comfort+Convenience!,2236975,Jonatas,,East Boston,42.36971097877554,-71.04019015026245,Entire home/apt,277,2,46,2025-06-15,1.86,1,241,18,STR-524764
859692631321104617,Single Family with comfort plus location.,507996585,Safiya,,Roxbury,42.3263693,-71.0918622,Entire home/apt,350,29,2,2025-01-01,0.28,1,322,2,
860163719347640584,Mystic River House,206544913,Nicole,,Charlestown,42.37930140632935,-71.06538013831026,Entire home/apt,700,29,1,2023-07-19,0.04,1,88,0,STR-525162
861596117565785721,Lovely 3 bedroom 2 bath “6 miles from downtown”,227889113,Lee,,Dorchester,42.283682954683336,-71.07296703274152,Entire home/apt,402,1,40,2025-05-18,1.52,6,349,12,STR-522922
861745537838627043,Heart of Southie - Hot Tub + Walk to Top Bars,487591231,Alexander,,South Boston,42.3349257,-71.0449714,Entire home/apt,592,2,81,2025-05-28,3.30,1,318,36,STR-401897
861788821813334017,"Roslindale Condo,W/D in unit,2 BDR,Free Parking",144344613,Gerald,,Roslindale,42.2786954,-71.11786239999999,Entire home/apt,180,3,45,2025-06-10,1.81,1,271,16,STR-522292
862441882772498141,Boston Getaway,3263797,Keren,,Dorchester,42.31914890858806,-71.0543593840498,Entire home/apt,158,29,1,2023-05-05,0.04,1,364,0,STR-524924
863829091185949070,"Room Available, Jamaica Plain, Roomate + 2 Cats!",508875857,Andrew,,Jamaica Plain,42.30589,-71.10483,Private room,,29,3,2023-09-02,0.12,1,0,0,STR-415715
864021933298523984,Cozy room space,227889113,Lee,,Dorchester,42.28307,-71.07269,Private room,630,1,0,,,6,365,0,STR-522922
864290529050408845,Stylish and Spacious 2-Bedroom Plus Office,508953862,Jon,,Dorchester,42.28877,-71.05672,Entire home/apt,,2,45,2024-11-10,1.75,1,0,9,STR-544911
865211677070580709,"Suite Boston, With Private Bath",31035862,Roger Michael,,Dorchester,42.292908,-71.0629855,Private room,148,1,213,2025-06-15,8.05,3,12,84,STR-482961
865457912919196504,Large Private Room (Lily) in a House,133457702,Selim,,Jamaica Plain,42.32263152894531,-71.10684266497502,Private room,,29,7,2023-10-23,0.28,9,0,0,STR-552508
865491574396499608,Private Room in a House (Red Tulip),133457702,Selim,,Jamaica Plain,42.32426,-71.10649,Private room,100,1,18,2024-11-02,0.68,9,65,10,STR-552508
865495431683606764,Private Room (Violet) in a House,133457702,Selim,,Jamaica Plain,42.32406084251169,-71.10620076790872,Private room,132,2,10,2025-05-13,0.40,9,25,2,STR-552508
865503096848277888,Private Room (Iris) in a House,133457702,Selim,,Jamaica Plain,42.322831882394354,-71.10689356332537,Private room,,29,9,2025-02-16,0.34,9,16,2,STR-550313
865785974116979767,Stylish Room in South End + Private Patio,36465884,Gates,,South End,42.34111233139622,-71.07471588434498,Private room,100,30,12,2025-05-21,0.50,1,198,6,
866575005037773478,Cozy Central Fenway Studio,275849638,Sean,,Fenway,42.34081347370269,-71.1012587845715,Entire home/apt,277,1,4,2025-05-26,2.79,70,258,4,STR-519403
866647856795580011,Lovely Brighton Apartment!,77086857,Youcef,,Brighton,42.346290889505525,-71.13905865887527,Entire home/apt,185,91,0,,,1,365,0,
867583816590061099,Boston 1 bedrm/livingrm close T,40995423,Jade,,Dorchester,42.32136235398295,-71.05950816707173,Entire home/apt,109,31,2,2025-05-03,0.11,9,333,1,
869100337454650984,Quiet brownstone close to city,15639915,Krisztian,,East Boston,42.3672321,-71.0383392,Entire home/apt,281,1,134,2025-05-31,5.10,1,246,65,STR-523013
869664695063700684,Downtown Boston - Maison Moderne,374049727,Taibou,,Dorchester,42.317710297890656,-71.05689192691577,Private room,90,29,9,2025-05-23,0.36,3,270,4,
870196550944784218,Boston 1 bed/livingrm close to T,40995423,Jade,,Dorchester,42.32121927779309,-71.05758894719567,Entire home/apt,109,30,2,2024-05-31,0.09,9,361,0,
870900443792498664,"New 3 bedroom, 2 bath unit, meadow view!",72023864,Xun,,Allston,42.3509,-71.14514,Entire home/apt,550,1,90,2025-06-08,3.56,1,168,42,STR-522682
872334269004776154,"1 bed/kitchen, 7 minutes to T",40995423,Jade,,Dorchester,42.31936111146322,-71.0576935235636,Entire home/apt,136,31,4,2024-04-20,0.16,9,361,0,
872453167369541812,Luxury Single Suite & Workspace in Fenway! (1Br),82958128,Sandeep,,Fenway,42.34737156188847,-71.10375805592109,Entire home/apt,,91,0,,,1,364,0,
872960760667370862,"Blueground | S End, w/d & gym, nr groceries",107434423,Blueground,,South End,42.3439382,-71.0638329,Entire home/apt,288,32,0,,,369,322,0,
873108519560457453,Boston Private Modern Bedroom in Boston,171686913,Hunter,,Dorchester,42.32559,-71.06459,Private room,117,29,23,2025-01-28,0.91,4,56,4,STR-544842
873477040969697726,Spacious Apt - Newly Renovated - Private Parking!,510884157,Jock,,Dorchester,42.30335,-71.07435,Entire home/apt,,1,73,2024-08-25,3.26,1,0,19,STR-524577
